Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
3/6/2016,560,33,1,593
3/7/2016,518,18,1,536
3/8/2016,423,23,0,452
3/9/2016,366,26,2,392
3/10/2016,405,65,0,478
3/11/2016,373,51,3,424
3/12/2016,312,46,1,363
3/13/2016,485,43,1,528
3/14/2016,334,24,0,358
3/15/2016,359,51,2,410
3/16/2016,386,35,0,421
3/17/2016,389,43,2,437
3/18/2016,437,35,1,472
3/19/2016,461,35,2,502
3/20/2016,475,43,2,518
3/21/2016,408,50,1,458
3/22/2016,351,25,2,376
3/23/2016,355,25,0,382
3/24/2016,239,22,0,261
3/25/2016,592,39,2,632
3/26/2016,566,43,2,610
3/27/2016,427,52,1,479
3/28/2016,392,35,1,429
3/29/2016,348,41,1,389
3/30/2016,319,31,3,351
3/31/2016,385,65,2,450
4/1/2016,432,39,1,472
4/2/2016,420,27,2,447
4/3/2016,469,28,1,497
4/4/2016,427,36,1,463
4/5/2016,406,43,0,449
4/6/2016,473,48,2,521
4/7/2016,567,60,2,627
4/8/2016,495,48,4,543
4/9/2016,572,74,5,652
4/10/2016,510,27,2,537
4/11/2016,372,48,0,420
4/12/2016,360,33,3,394
4/13/2016,408,33,1,441
4/14/2016,412,54,1,470
4/15/2016,387,56,4,443
4/16/2016,425,46,0,474
4/17/2016,662,65,2,728
4/18/2016,395,48,1,447
4/19/2016,455,26,1,481
4/20/2016,437,43,2,480
4/21/2016,376,46,4,424
4/22/2016,356,45,3,401
4/23/2016,465,78,4,543
4/24/2016,458,59,1,518
4/25/2016,379,29,0,410
4/26/2016,415,51,1,466
4/27/2016,398,45,0,443
4/28/2016,432,47,2,479
4/29/2016,472,0,3,510
4/30/2016,480,41,1,530
5/1/2016,415,43,1,461
5/2/2016,418,30,0,454
5/3/2016,380,24,1,404
5/4/2016,428,56,0,484
5/5/2016,399,38,3,441
5/6/2016,0,0,0,0
5/7/2016,428,40,2,468
5/8/2016,523,27,4,550
5/9/2016,415,37,2,452
5/10/2016,378,41,1,420
5/11/2016,429,59,0,488
5/12/2016,331,36,1,368
5/13/2016,350,25,0,380
5/14/2016,478,25,0,503
5/15/2016,442,33,3,481
5/16/2016,343,42,2,385
5/17/2016,433,45,2,487
5/18/2016,387,51,3,438
5/19/2016,0,0,0,0
5/20/2016,68,2,1,70
5/21/2016,0,0,0,0
5/22/2016,499,52,5,551
5/23/2016,443,36,2,484
5/24/2016,0,0,0,0
5/25/2016,493,67,4,560
5/26/2016,227,18,1,245
5/27/2016,428,22,3,490
5/28/2016,0,0,0,0
5/29/2016,104,6,0,110
5/30/2016,385,59,2,444
5/31/2016,344,43,2,392
6/1/2016,378,20,0,398
6/2/2016,394,35,1,434
6/3/2016,409,63,2,472
6/4/2016,477,38,1,515
6/5/2016,480,57,4,537
6/6/2016,415,51,1,466
6/7/2016,0,0,0,0
6/8/2016,0,0,0,0
6/9/2016,0,0,0,0
6/10/2016,392,35,2,429
6/11/2016,0,0,0,0
6/12/2016,0,0,0,0
6/13/2016,0,0,0,0
6/14/2016,0,0,0,0
6/15/2016,444,61,3,505
6/16/2016,465,25,0,490
6/17/2016,297,23,1,320
6/18/2016,453,60,4,517
6/19/2016,0,0,0,0
6/20/2016,0,0,0,0
6/21/2016,372,37,0,409
6/22/2016,449,35,2,484
6/23/2016,430,43,3,473
6/24/2016,444,40,0,490
6/25/2016,371,42,1,413
6/26/2016,359,15,0,379
6/27/2016,0,0,0,0
6/28/2016,423,44,2,467
6/29/2016,0,0,0,0
6/30/2016,415,30,1,446
7/1/2016,396,43,3,442
7/2/2016,205,24,2,229
7/3/2016,0,0,0,0
7/4/2016,413,61,3,476
7/5/2016,325,46,0,371
7/6/2016,397,42,2,440
7/7/2016,410,32,3,445
7/8/2016,401,65,4,474
7/9/2016,433,65,5,498
7/10/2016,442,56,4,498
7/11/2016,395,35,1,430
7/12/2016,445,37,1,482
7/13/2016,349,58,2,407
7/14/2016,393,33,1,426
7/15/2016,414,61,2,475
7/16/2016,421,41,0,464
7/17/2016,425,36,1,464
7/18/2016,0,0,0,0
7/19/2016,390,55,2,445
7/20/2016,371,26,1,397
7/21/2016,439,32,0,471
7/22/2016,328,38,3,370
7/23/2016,347,38,1,385
7/24/2016,0,0,0,0
7/25/2016,0,0,0,0
7/26/2016,0,0,0,0
7/27/2016,0,0,0,0
7/28/2016,0,0,0,0
7/29/2016,0,0,0,0
7/30/2016,0,0,0,0
7/31/2016,0,0,0,0
8/1/2016,0,0,0,0
8/2/2016,0,0,0,0
8/3/2016,0,0,0,0
8/4/2016,415,44,2,459
8/5/2016,369,41,1,411
8/6/2016,430,23,0,454
8/7/2016,441,58,3,500
8/8/2016,455,50,1,509
8/9/2016,445,38,1,484
8/10/2016,410,49,0,460
8/11/2016,407,36,1,443
8/12/2016,439,36,3,475
8/13/2016,436,42,2,478
8/14/2016,446,91,5,543
8/15/2016,435,45,0,480
8/16/2016,435,45,3,480
8/17/2016,397,29,0,434
8/18/2016,421,41,1,462
8/19/2016,410,47,1,457
8/20/2016,402,17,0,419
8/21/2016,0,0,0,0
8/22/2016,426,40,1,471
8/23/2016,436,36,0,473
8/24/2016,429,32,0,462
8/25/2016,488,41,4,529
8/26/2016,400,33,2,437
8/27/2016,0,0,0,0
8/28/2016,0,0,0,0
8/29/2016,484,41,4,525
8/30/2016,449,21,1,470
8/31/2016,469,34,2,507
