Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
3/6/2016,3647,21066,10.40,110,525,185,63,93,2115
3/7/2016,2872,12925,6.23,15,707,130,38,39,1209
3/8/2016,2837,11698,5.64,11,844,185,5,29,1176
3/9/2016,3032,11637,8.87,13,743,220,32,17,1427
3/10/2016,2882,12453,6.00,16,745,180,5,36,1238
3/11/2016,2968,13690,6.60,21,741,200,19,41,1397
3/12/2016,2854,11401,5.50,42,774,246,10,12,1282
3/13/2016,2927,11908,5.82,36,760,227,19,32,1353
3/14/2016,3108,14146,7.10,15,742,191,15,47,1501
3/15/2016,2817,11011,5.31,15,803,212,22,12,1202
3/16/2016,2927,12317,5.94,15,757,215,25,18,1337
3/17/2016,2578,7280,3.51,5,809,200,0,0,900
3/18/2016,2723,10135,4.89,6,779,161,14,26,1046
3/19/2016,3094,12844,6.95,11,596,245,18,23,1535
3/20/2016,2969,12919,6.23,25,638,205,52,20,1409
3/21/2016,2860,10815,5.21,10,809,206,21,17,1221
3/22/2016,2917,11088,5.38,7,797,236,6,13,1289
3/23/2016,2900,9210,4.44,13,902,254,0,0,1187
3/24/2016,2898,8002,3.86,5,841,194,5,17,1095
3/25/2016,3170,13221,6.65,4,516,204,35,32,1581
3/26/2016,2884,10000,4.82,13,682,271,8,2,1270
3/27/2016,3019,12601,6.08,8,542,194,47,39,1458
3/28/2016,3001,10526,5.09,46,778,262,0,0,1300
3/29/2016,3049,11368,5.50,5,796,249,14,20,1447
3/30/2016,2717,7444,3.59,13,804,192,7,13,1003
3/31/2016,2973,9711,4.68,13,854,228,12,19,1307
4/1/2016,2954,10272,4.95,3,599,257,11,6,1351
4/2/2016,2857,10091,4.87,7,794,221,7,26,1234
4/3/2016,2810,9213,4.44,47,605,279,9,0,1234
4/4/2016,2874,10396,5.01,5,704,225,21,11,1241
4/5/2016,3108,12477,6.02,6,734,273,32,8,1520
4/6/2016,3168,13892,6.70,63,551,293,48,11,1666
4/7/2016,3093,12811,6.18,21,445,271,26,12,1531
4/8/2016,4716,34382,16.58,588,306,287,128,151,3507
4/9/2016,2832,10046,4.84,20,651,205,41,4,1207
4/10/2016,2998,11358,5.48,35,643,215,35,13,1350
4/11/2016,3109,14912,7.19,31,744,193,31,59,1517
4/12/2016,2951,12067,5.82,16,779,191,13,38,1320
4/13/2016,2886,11975,5.77,24,766,141,24,39,1191
4/14/2016,2815,10244,4.94,28,806,128,22,42,1090
4/15/2016,3061,12112,5.84,28,735,235,12,40,1493
4/16/2016,3770,22756,10.97,113,470,241,49,101,2341
4/17/2016,2747,10032,4.84,15,543,143,59,13,1101
4/18/2016,2848,10140,4.89,15,781,196,21,16,1181
4/19/2016,2698,9178,4.43,11,736,180,10,11,1030
4/20/2016,2931,10139,4.89,5,734,257,0,0,1262
4/21/2016,2788,10132,4.94,17,781,212,6,1,1119
4/22/2016,2794,10122,4.88,11,881,185,10,24,1128
4/23/2016,2856,7966,3.84,17,674,206,17,21,1191
4/24/2016,3067,12343,5.95,11,612,211,33,36,1462
4/25/2016,2885,10254,4.94,23,715,214,6,23,1232
4/26/2016,3207,14849,7.16,32,732,218,20,52,1629
4/27/2016,3086,11466,5.53,20,674,230,24,35,1502
4/28/2016,2926,10204,4.94,8,708,242,3,6,1281
